Depth (cm),Age (ka BP),Ti/Ca
1289.5,79.979,0.126
1290,80.019,0.083
1290.5,80.058,0.118
1291,80.098,0.134
1291.5,80.137,0.160
1292,80.177,0.164
1292.5,80.216,0.167
1293,80.256,0.125
1293.5,80.296,0.162
1294,80.335,0.156
1294.5,80.375,0.144
1295,80.414,0.147
1295.5,80.454,0.116
1296,80.493,0.099
1296.5,80.533,0.089
1297,80.572,0.094
1297.5,80.612,0.091
1298,80.651,0.074
1298.5,80.691,0.076
1299,80.730,0.074
1299.5,80.770,0.067
1300,80.810,0.053
1300.5,80.849,0.050
1301,80.889,0.051
1301.5,80.928,0.055
1302,80.968,0.052
1302.5,81.007,0.049
1303,81.047,0.050
1303.5,81.086,0.048
1304,81.126,0.047
1304.5,81.165,0.045
1305,81.205,0.041
1305.5,81.245,0.039
1306,81.284,0.041
1306.5,81.324,0.036
1307,81.363,0.035
1307.5,81.403,0.037
1308,81.442,0.036
1308.5,81.482,0.036
1309,81.521,0.038
1309.5,81.561,0.037
1310,81.600,0.032
1310.5,81.640,0.031
1311,81.679,0.032
1311.5,81.719,0.031
1312,81.759,0.031
1312.5,81.798,0.027
1313,81.838,0.028
1313.5,81.877,0.027
1314,81.917,0.026
1314.5,81.956,0.027
1315,81.996,0.027
1315.5,82.035,0.027
1316,82.075,0.026
1316.5,82.114,0.027
1317,82.154,0.025
1317.5,82.193,0.027
1318,82.233,0.027
1318.5,82.273,0.028
1319,82.312,0.026
1319.5,82.352,0.029
1320,82.391,0.030
1320.5,82.431,0.030
1321,82.470,0.031
1321.5,82.510,0.032
1322,82.549,0.035
1322.5,82.589,0.030
1323,82.628,0.032
1323.5,82.668,0.034
1324,82.708,0.034
1324.5,82.747,0.033
1325,82.787,0.036
1325.5,82.826,0.039
1326,82.866,0.038
1326.5,82.905,0.043
1327,82.945,0.039
1327.5,82.984,0.051
1328,83.024,0.053
1328.5,83.063,0.062
1329,83.103,0.056
1329.5,83.142,0.067
1330,83.182,0.072
1330.5,83.222,0.068
1331,83.261,0.064
1331.5,83.301,0.059
1332,83.340,0.061
1332.5,83.380,0.060
1333,83.419,0.059
1333.5,83.459,0.068
1334,83.498,0.063
1334.5,83.538,0.059
1335,83.577,0.063
1335.5,83.617,0.064
1336,83.656,0.054
1336.5,83.696,0.049
1337,83.736,0.047
1337.5,83.775,0.048
1338,83.815,0.046
1338.5,83.854,0.051
1339,83.894,0.052
1339.5,83.933,0.051
1340,83.973,0.054
1340.5,84.012,0.061
1341,84.052,0.057
1341.5,84.091,0.061
1342,84.131,0.062
1342.5,84.170,0.054
1343,84.210,0.057
1343.5,84.250,0.057
1344,84.289,0.058
1344.5,84.329,0.058
1345,84.368,0.064
1345.5,84.408,0.063
1346,84.447,0.063
1346.5,84.487,0.067
1347,84.526,0.068
1347.5,84.566,0.066
1348,84.605,0.054
1348.5,84.645,0.067
1349,84.685,0.078
1349.5,84.724,0.076
1350,84.764,0.083
1350.5,84.803,0.076
1351,84.843,0.086
1351.5,84.882,0.107
1352,84.922,0.118
1352.5,84.961,0.115
1353,85.001,0.117
1353.5,85.040,0.121
1354,85.080,0.107
1354.5,85.119,0.120
1355,85.159,0.124
1355.5,85.189,0.132
1356,85.219,0.137
1356.5,85.248,0.143
1357,85.278,0.149
1357.5,85.308,0.128
1358,85.338,0.085
1358.5,85.368,0.136
1359,85.397,0.167
1359.5,85.427,0.201
1360,85.457,0.194
1360.5,85.487,0.189
1361,85.516,0.185
1361.5,85.546,0.187
1362,85.576,0.226
1362.5,85.606,0.225
1363,85.636,0.212
1363.5,85.665,0.203
1364,85.695,0.225
1364.5,85.725,0.235
1365,85.755,0.241
1365.5,85.785,0.255
1366,85.814,0.242
1366.5,85.844,0.243
1367,85.874,0.234
1367.5,85.904,0.261
1368,85.933,0.237
1368.5,85.963,0.237
1369,85.993,0.249
1369.5,86.023,0.264
1370,86.053,0.259
1370.5,86.082,0.256
1371,86.112,0.243
1371.5,86.142,0.258
1372,86.172,0.251
1372.5,86.202,0.228
1373,86.231,0.231
1373.5,86.261,0.250
1374,86.291,0.242
1374.5,86.321,0.231
1375,86.350,0.242
1375.5,86.380,0.240
1376,86.410,0.175
1376.5,86.440,0.216
1377,86.470,0.227
1377.5,86.499,0.211
1378,86.529,0.227
1378.5,86.559,0.215
1379,86.589,0.224
1379.5,86.619,0.226
1380,86.648,0.222
1380.5,86.678,0.231
1381,86.708,0.204
1381.5,86.738,0.184
1382,86.768,0.186
1382.5,86.797,0.176
1383,86.827,0.182
1383.5,86.857,0.189
1384,86.887,0.179
1384.5,86.916,0.160
1385,86.946,0.166
1385.5,86.976,0.149
1386,87.006,0.166
1386.5,87.036,0.185
1387,87.065,0.204
1387.5,87.095,0.199
1388,87.125,0.196
1388.5,87.155,0.198
1389,87.185,0.203
1389.5,87.214,0.205
1390,87.244,0.204
1390.5,87.274,0.197
1391,87.304,0.205
1391.5,87.333,0.196
1392,87.363,0.206
1392.5,87.393,0.221
1393,87.423,0.216
1393.5,87.453,0.230
1394,87.482,0.240
1394.5,87.512,0.241
1395,87.542,0.215
1395.5,87.572,0.224
1396,87.602,0.214
1396.5,87.631,0.218
1397,87.661,0.215
1397.5,87.691,0.203
1398,87.721,0.193
1398.5,87.750,0.185
1399,87.780,0.187
1399.5,87.810,0.171
1400,87.840,0.161
1400.5,87.870,0.132
1401,87.899,0.123
1401.5,87.929,0.130
1402,87.959,0.120
1402.5,88.037,0.114
1403,88.115,0.104
1403.5,88.194,0.090
1404,88.272,0.071
1404.5,88.350,0.054
1405,88.428,0.056
1405.5,88.507,0.053
1406,88.585,0.050
1406.5,88.663,0.046
1407,88.741,0.046
1407.5,88.820,0.046
1408,88.898,0.048
1408.5,88.976,0.048
1409,89.054,0.051
1409.5,89.132,0.053
1410,89.211,0.046
1410.5,89.289,0.047
1411,89.367,0.051
1411.5,89.445,0.055
1412,89.524,0.052
1412.5,89.602,0.050
1413,89.680,0.054
1413.5,89.758,0.055
1414,89.837,0.049
1414.5,89.915,0.054
1415,89.993,0.059
1415.5,90.071,0.059
1416,90.149,0.059
1416.5,90.228,0.059
1417,90.306,0.054
1417.5,90.384,0.053
1418,90.462,0.049
1418.5,90.541,0.049
1419,90.619,0.046
1419.5,90.697,0.045
1420,90.775,0.047
1420.5,90.854,0.051
1421,90.932,0.047
1421.5,91.010,0.050
1422,91.088,0.047
1422.5,91.166,0.044
1423,91.245,0.046
1423.5,91.323,0.045
1424,91.401,0.046
1424.5,91.479,0.048
1425,91.558,0.044
1425.5,91.636,0.048
1426,91.714,0.048
1426.5,91.792,0.048
1427,91.871,0.047
1427.5,91.949,0.045
1428,92.027,0.048
1428.5,92.105,0.048
1429,92.183,0.055
1429.5,92.262,0.055
1430,92.340,0.055
1430.5,92.418,0.053
1431,92.496,0.058
1431.5,92.575,0.070
1432,92.653,0.059
1432.5,92.731,0.049
1433,92.809,0.059
1433.5,92.888,0.060
1434,92.966,0.039
1434.5,93.044,0.055
1435,93.122,0.052
1435.5,93.200,0.049
1436,93.279,0.050
1436.5,93.357,0.049
1437,93.435,0.052
1437.5,93.513,0.051
1438,93.592,0.050
1438.5,93.670,0.048
1439,93.748,0.047
1439.5,93.826,0.045
1440,93.905,0.041
1440.5,93.983,0.040
1441,94.061,0.044
1441.5,94.139,0.046
1442,94.217,0.050
1442.5,94.296,0.055
1443,94.374,0.052
1443.5,94.452,0.052
1444,94.530,0.051
1444.5,94.609,0.047
1445,94.687,0.044
1445.5,94.765,0.050
1446,94.843,0.047
1446.5,94.922,0.051
1447,95.000,0.051
1447.5,95.078,0.052
1448,95.156,0.050
1448.5,95.234,0.054
1449,95.313,0.051
1449.5,95.391,0.043
1450,95.469,0.044
1450.5,95.547,0.042
1451,95.626,0.048
1451.5,95.704,0.046
1452,95.782,0.048
1452.5,95.860,0.052
1453,95.939,0.044
1453.5,96.017,0.044
1454,96.095,0.040
1454.5,96.173,0.036
1455,96.251,0.041
1455.5,96.330,0.044
1456,96.408,0.036
1456.5,96.486,0.034
1457,96.564,0.032
1457.5,96.643,0.038
1458,96.721,0.036
1458.5,96.799,0.038
1459,96.877,0.037
1459.5,96.956,0.036
1460,97.034,0.037
1460.5,97.112,0.033
1461,97.190,0.040
1461.5,97.268,0.039
1462,97.347,0.042
1462.5,97.425,0.037
1463,97.503,0.034
1463.5,97.581,0.037
1464,97.660,0.040
1464.5,97.738,0.038
1465,97.816,0.038
1465.5,97.894,0.036
1466,97.973,0.036
1466.5,98.051,0.036
1467,98.129,0.040
1467.5,98.207,0.036
1468,98.285,0.037
1468.5,98.364,0.040
1469,98.442,0.037
1469.5,98.520,0.037
1470,98.598,0.036
1470.5,98.677,0.036
1471,98.755,0.036
1471.5,98.833,0.034
1472,98.911,0.033
1472.5,98.990,0.035
1473,99.068,0.032
1473.5,99.146,0.033
1474,99.224,0.033
1474.5,99.302,0.032
1475,99.381,0.031
1475.5,99.459,0.030
1476,99.537,0.031
1476.5,99.615,0.031
1477,99.694,0.030
1477.5,99.772,0.030
1478,99.850,0.030
1478.5,99.928,0.028
1479,100.007,0.028
1479.5,100.085,0.028
1480,100.163,0.027
1480.5,100.241,0.028
1481,100.319,0.026
1481.5,100.398,0.026
1482,100.476,0.024
1482.5,100.554,0.024
1483,100.632,0.028
1483.5,100.711,0.026
1484,100.789,0.026
1484.5,100.867,0.026
1485,100.945,0.026
1485.5,101.024,0.026
1486,101.102,0.025
1486.5,101.180,0.024
1487,101.258,0.028
1487.5,101.336,0.028
1488,101.415,0.026
1488.5,101.493,0.026
1489,101.571,0.028
1489.5,101.649,0.023
1490,101.728,0.025
1490.5,101.806,0.024
1491,101.884,0.025
1491.5,101.962,0.024
1492,102.041,0.023
1492.5,102.119,0.024
1493,102.197,0.028
1493.5,102.275,0.031
1494,102.353,0.030
1494.5,102.432,0.029
1495,102.510,0.030
1495.5,102.588,0.035
1496,102.666,0.033
1496.5,102.745,0.033
1497,102.823,0.035
1497.5,102.901,0.030
1498,102.979,0.035
1498.5,103.058,0.039
1499,103.136,0.048
1499.5,103.214,0.024
1500,103.292,0.050
1500.5,103.370,0.058
1501,103.449,0.053
1501.5,103.527,0.058
1502,103.605,0.056
1502.5,103.683,0.059
1503,103.762,0.061
1503.5,103.840,0.057
1504,103.918,0.057
1504.5,103.996,0.043
1505,104.075,0.042
1505.5,104.153,0.057
1506,104.231,0.047
1506.5,104.309,0.044
1507,104.387,0.042
1507.5,104.466,0.031
1508,104.544,0.027
1508.5,104.622,0.032
1509,104.700,0.034
1509.5,104.779,0.023
1510,104.857,0.025
1510.5,104.935,0.026
1511,105.013,0.025
1511.5,105.092,0.024
1512,105.170,0.024
1512.5,105.248,0.024
1513,105.326,0.024
1513.5,105.404,0.024
1514,105.483,0.027
1514.5,105.561,0.023
1515,105.639,0.026
1515.5,105.717,0.035
1516,105.796,0.036
1516.5,105.874,0.032
1517,105.952,0.043
1517.5,106.030,0.044
1518,106.109,0.043
1518.5,106.187,0.040
1519,106.265,0.042
1519.5,106.343,0.042
1520,106.421,0.051
1520.5,106.500,0.046
1521,106.578,0.045
1521.5,106.656,0.057
1522,106.734,0.055
1522.5,106.813,0.051
1523,106.891,0.048
1523.5,106.969,0.048
1524,107.047,0.053
1524.5,107.126,0.043
1525,107.204,0.032
1525.5,107.282,0.038
1526,107.360,0.047
1526.5,107.438,0.045
1527,107.517,0.055
1527.5,107.595,0.051
1528,107.673,0.035
1528.5,107.751,0.034
1529,107.830,0.037
1529.5,107.908,0.061
1530,107.986,0.044
1530.5,108.064,0.052
1531,108.143,0.073
1531.5,108.221,0.087
1532,108.299,0.093
1532.5,108.346,0.090
1533,108.394,0.060
1533.5,108.441,0.088
1534,108.488,0.117
1534.5,108.536,0.151
1535,108.583,0.144
1535.5,108.630,0.145
1536,108.678,0.121
1536.5,108.725,0.128
1537,108.772,0.117
1537.5,108.820,0.115
1538,108.867,0.120
1538.5,108.914,0.131
1539,108.962,0.096
1539.5,109.009,0.120
1540,109.056,0.111
1540.5,109.104,0.157
1541,109.151,0.131
1541.5,109.198,0.088
1542,109.246,0.144
1542.5,109.293,0.140
1543,109.340,0.145
1543.5,109.388,0.151
1544,109.435,0.145
1544.5,109.482,0.111
1545,109.530,0.114
1545.5,109.577,0.169
1546,109.624,0.159
1546.5,109.672,0.172
1547,109.719,0.175
1547.5,109.766,0.156
1548,109.814,0.150
1548.5,109.861,0.121
1549,109.908,0.116
1549.5,109.956,0.121
1550,110.003,0.104
1550.5,110.050,0.105
1551,110.098,0.088
1551.5,110.145,0.089
1552,110.192,0.085
1552.5,110.240,0.084
1553,110.287,0.077
1553.5,110.334,0.082
1554,110.382,0.082
1554.5,110.429,0.076
1555,110.476,0.068
1555.5,110.524,0.073
1556,110.571,0.077
1556.5,110.618,0.082
1557,110.666,0.077
1557.5,110.713,0.077
1558,110.760,0.071
1558.5,110.808,0.075
1559,110.855,0.068
1559.5,110.902,0.075
1560,110.950,0.068
1560.5,110.997,0.064
1561,111.044,0.070
1561.5,111.092,0.064
1562,111.139,0.067
1562.5,111.224,0.063
1563,111.308,0.063
1563.5,111.393,0.067
1564,111.477,0.069
1564.5,111.562,0.065
1565,111.646,0.064
1565.5,111.731,0.068
1566,111.815,0.069
1566.5,111.900,0.067
1567,111.984,0.068
1567.5,112.069,0.068
1568,112.154,0.071
1568.5,112.238,0.076
1569,112.323,0.072
1569.5,112.407,0.076
1570,112.492,0.073
1570.5,112.576,0.076
1571,112.661,0.077
1571.5,112.745,0.081
1572,112.830,0.079
1572.5,112.915,0.081
1573,112.999,0.077
1573.5,113.084,0.083
1574,113.168,0.082
1574.5,113.253,0.080
1575,113.337,0.087
1575.5,113.422,0.086
1576,113.506,0.075
1576.5,113.591,0.075
1577,113.675,0.077
1577.5,113.760,0.072
1578,113.845,0.083
1578.5,113.929,0.075
1579,114.014,0.074
1579.5,114.098,0.073
1580,114.183,0.083
1580.5,114.267,0.093
1581,114.352,0.087
1581.5,114.436,0.078
1582,114.521,0.076
1582.5,114.605,0.079
1583,114.690,0.082
1583.5,114.775,0.076
1584,114.859,0.074
1584.5,114.944,0.077
1585,115.028,0.078
1585.5,115.113,0.075
1586,115.197,0.071
1586.5,115.282,0.064
1587,115.366,0.065
1587.5,115.451,0.068
1588,115.536,0.061
1588.5,115.620,0.062
1589,115.705,0.055
1589.5,115.789,0.053
1590,115.874,0.054
1590.5,115.958,0.056
1591,116.043,0.054
1591.5,116.127,0.057
1592,116.212,0.057
1592.5,116.296,0.055
1593,116.381,0.052
1593.5,116.466,0.051
1594,116.550,0.051
1594.5,116.635,0.045
1595,116.719,0.049
1595.5,116.804,0.050
1596,116.888,0.051
1596.5,116.973,0.056
1597,117.057,0.056
1597.5,117.142,0.054
1598,117.226,0.052
1598.5,117.311,0.045
1599,117.396,0.041
1599.5,117.480,0.036
1600,117.565,0.043
1600.5,117.649,0.037
1601,117.734,0.032
1601.5,117.818,0.031
1602,117.903,0.032
1602.5,117.987,0.034
1603,118.072,0.031
1603.5,118.156,0.031
1604,118.241,0.028
1604.5,118.326,0.028
1605,118.410,0.027
1605.5,118.495,0.024
1606,118.579,0.021
1606.5,118.664,0.021
1607,118.748,0.023
1607.5,118.833,0.022
1608,118.917,0.023
1608.5,119.002,0.020
1609,119.087,0.018
1609.5,119.171,0.019
1610,119.256,0.018
1610.5,119.340,0.016
1611,119.425,0.016
1611.5,119.509,0.016
1612,119.594,0.016
1612.5,119.678,0.016
1613,119.763,0.015
1613.5,119.847,0.015
1614,119.932,0.014
1614.5,120.017,0.014
1615,120.101,0.014
1615.5,120.186,0.014
1616,120.270,0.013
1616.5,120.355,0.017
1617,120.439,0.014
1617.5,120.524,0.014
1618,120.608,0.014
1618.5,120.693,0.014
1619,120.777,0.014
1619.5,120.862,0.014
1620,120.947,0.014
1620.5,121.031,0.014
1621,121.116,0.013
1621.5,121.200,0.012
1622,121.285,0.014
1622.5,121.369,0.013
1623,121.454,0.015
1623.5,121.538,0.015
1624,121.623,0.015
1624.5,121.708,0.012
1625,121.792,0.014
1625.5,121.877,0.017
1626,121.961,0.017
1626.5,122.046,0.017
1627,122.130,0.017
1627.5,122.215,0.015
1628,122.299,0.016
1628.5,122.384,0.016
1629,122.468,0.019
1629.5,122.553,0.018
1630,122.638,0.018
1630.5,122.722,0.018
1631,122.807,0.017
1631.5,122.891,0.019
1632,122.976,0.017
1632.5,123.060,0.017
1633,123.145,0.020
1633.5,123.229,0.019
1634,123.314,0.017
1634.5,123.398,0.016
1635,123.483,0.018
1635.5,123.568,0.016
1636,123.652,0.017
1636.5,123.737,0.016
1637,123.821,0.012
1637.5,123.906,0.019
1638,123.990,0.046
1638.5,124.075,0.021
1639,124.159,0.018
1639.5,124.244,0.018
1640,124.328,0.019
1640.5,124.413,0.021
1641,124.498,0.023
1641.5,124.582,0.021
1642,124.667,0.020
1642.5,124.751,0.021
1643,124.836,0.020
1643.5,124.920,0.020
1644,125.005,0.019
1644.5,125.089,0.019
1645,125.174,0.019
1645.5,125.259,0.019
1646,125.343,0.019
1646.5,125.428,0.018
1647,125.512,0.020
1647.5,125.597,0.020
1648,125.681,0.019
1648.5,125.766,0.020
1649,125.850,0.019
1649.5,125.935,0.019
1650,126.019,0.020
1650.5,126.104,0.020
1651.5,126.273,0.018
1652,126.358,0.018
1652.5,126.442,0.020
1653,126.527,0.018
1653.5,126.611,0.018
1654,126.696,0.019
1654.5,126.780,0.017
1655,126.865,0.019
1655.5,126.949,0.018
1656,127.034,0.018
1656.5,127.119,0.019
1657,127.203,0.020
1657.5,127.288,0.020
1658,127.372,0.019
1658.5,127.457,0.021
1659,127.541,0.020
1659.5,127.626,0.020
1660,127.710,0.022
1660.5,127.795,0.021
1661,127.880,0.024
1661.5,127.964,0.027
1662,128.049,0.020
1662.5,128.133,0.020
1663,128.218,0.034
1663.5,128.302,0.043
1664,128.387,0.055
1664.5,128.471,0.057
1665,128.556,0.064
1665.5,128.640,0.059
1666,128.725,0.061
1666.5,128.810,0.058
1667,128.894,0.271
1667.5,128.979,0.402
