lat,lon,sampleID,siteID,entityID,elevation,d18,d13,age,Ref
-5.92,-77.35,41962,25,93,114,-7.123,-10.526,231,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41963,25,93,114,-7.154,-10.599,234,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41964,25,93,114,-7.268,-10.624,236,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41965,25,93,114,-7.331,-10.651,238,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41966,25,93,114,-7.165,-10.55,241,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41967,25,93,114,-7.151,-10.507,243,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41968,25,93,114,-7.136,-10.563,245,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41969,25,93,114,-7.041,-10.718,247,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41970,25,93,114,-7.124,-10.709,250,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41971,25,93,114,-7.175,-10.526,252,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41972,25,93,114,-7.042,-10.61,254,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41973,25,93,114,-7.175,-10.676,259,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41974,25,93,114,-7.192,-10.808,256,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41975,25,93,114,-7.268,-10.55,261,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41976,25,93,114,-7.067,-10.635,263,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41977,25,93,114,-7.159,-10.805,266,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41978,25,93,114,-7.146,-10.655,270,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41979,25,93,114,-7.261,-10.757,268,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41980,25,93,114,-7.259,-10.685,272,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41981,25,93,114,-7.13,-10.311,275,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41982,25,93,114,-6.79,-10.105,277,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41983,25,93,114,-7.103,-10.28,279,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41984,25,93,114,-7.01,-10.058,286,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41985,25,93,114,-7.413,-10.008,292,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41986,25,93,114,-7.15,-9.739,299,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41988,25,93,114,-7.168,-9.665,312,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41989,25,93,114,-6.746,-9.46,318,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41990,25,93,114,-7.208,-9.872,325,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41991,25,93,114,-7.07,-9.604,331,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41992,25,93,114,-7.004,-9.368,337,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41993,25,93,114,-7.046,-9.624,344,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41994,25,93,114,-7.167,-9.884,350,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41995,25,93,114,-7.155,-9.917,357,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41996,25,93,114,-7.396,-9.412,363,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41997,25,93,114,-7.166,-9.678,370,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41998,25,93,114,-7.225,-9.792,376,van Breukelen et al. 2008; EPSL
-5.92,-77.35,41999,25,93,114,-7.347,-9.787,383,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42000,25,93,114,-7.037,-9.75,389,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42001,25,93,114,-7.145,-9.178,396,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42002,25,93,114,-7.083,-9.466,402,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42003,25,93,114,-7.24,-9.5,409,van Breukelen et al. 2008; EPSL
-5.92,-77.35,42004,25,93,114,-7.119,-9.444,415,van Breukelen et al. 2008; EPSL
