"dating_id","entity_id","date_type","depth_dating","dating_thickness","lab_num","material_dated","min_weight","max_weight","uncorr_age","uncorr_age_uncert_pos","uncorr_age_uncert_neg","14C_correction","calib_used","date_used","238U_content","238U_uncertainty","232Th_content","232Th_uncertainty","230Th_content","230Th_uncertainty","230Th_232Th_ratio","230Th_232Th_ratio_uncertainty","230Th_238U_activity","230Th_238U_activity_uncertainty","234U_238U_activity","234U_238U_activity_uncertainty","ini_230Th_232Th_ratio","ini_230Th_232Th_ratio_uncertainty","decay_constant","corr_age","corr_age_uncert_pos","corr_age_uncert_neg","date_used_lin_interp","date_used_lin_reg","date_used_Bchron","date_used_Bacon","date_used_OxCal","date_used_copRa","date_used_StalAge"
6929,389,"ICP-MS U/Th Other",968,NA,"Y6*","calcite",NA,NA,15969,155.000332167,155.000332167,NA,NA,"no",44.8,0.106100269355,1326,11.0067447305,NA,NA,NA,NA,0.3766,0.00330078982457,2.73,0.006000287,0.814430125,0.407215062,"Cheng et al. 2000",15660,220,220,"no","no","no","no","no","no","no"
6930,389,"ICP-MS U/Th Other",1020,NA,"Y1-23","calcite",0.5154,0.5154,16131.1231481,306.490122216,306.490122216,NA,NA,"yes",42.6985024924,0.0790578620851,707.5720905,9.27423601147,NA,NA,NA,NA,0.379879864248,0.00674671292327,2.72718015,0.005956236,0.814430125,0.407215062,"Cheng et al. 2000",15960,320,320,"yes","yes","yes","yes","yes","yes","yes"
6931,390,"MC-ICP-MS U/Th",35,2,"7686.0","calcite",0.24414,0.24414,131,14,14,NA,NA,"no",42.098,0.005,27.266,0.111,0.0018,0.00013,12.3,0.9,0.0026,0.00021,1.4476,0.0012,0.825111034,0.412555517,"Cheng et al. 2000",117.4,29.1,29.1,NA,NA,NA,NA,NA,NA,NA
6932,390,"MC-ICP-MS U/Th",56,2,"7687.0","calcite",0.15064,0.15064,361,25,25,NA,NA,"yes",45.524,0.008,18.747,0.067,0.0042,0.00024,41.9,2.4,0.00564,0.00032,1.4451,0.0015,0.825111034,0.412555517,"Cheng et al. 2000",352.1,24.05,24.05,NA,NA,NA,NA,NA,NA,NA
6933,390,"MC-ICP-MS U/Th",104,2,"7688.0","calcite",0.13792,0.13792,487,19,19,NA,NA,"yes",57.975,0.007,28.712,0.095,0.0068,0.00023,44.2,1.5,0.00715,0.00025,1.416,0.0012,0.825111034,0.412555517,"Cheng et al. 2000",476,18.75,18.75,NA,NA,NA,NA,NA,NA,NA
6934,390,"MC-ICP-MS U/Th",115,2,"7689.0","calcite",0.12292,0.12292,620,23,23,NA,NA,"yes",52.899,0.006,47.023,0.172,0.00778,0.00026,30.9,1,0.00895,0.00032,1.4281,0.0016,0.825111034,0.412555517,"Cheng et al. 2000",601.3,22.65,22.65,NA,NA,NA,NA,NA,NA,NA
6935,390,"MC-ICP-MS U/Th",173,2,"7690.0","calcite",0.11564,0.11564,1271,37,37,NA,NA,"yes",44.216,0.01,21.243,0.081,0.01265,0.00034,111.2,3.1,0.01743,0.00048,1.4311,0.0019,0.825111034,0.412555517,"Cheng et al. 2000",1261.3,37.4,37.4,NA,NA,NA,NA,NA,NA,NA
6936,390,"MC-ICP-MS U/Th",211,2,"7691.0","calcite",0.09457,0.09457,1665,44,44,NA,NA,"yes",49.798,0.015,80.023,0.258,0.01845,0.00046,43.1,1.1,0.02256,6e-04,1.4339,0.002,0.825111034,0.412555517,"Cheng et al. 2000",1632.5,43.45,43.45,NA,NA,NA,NA,NA,NA,NA
6937,390,"MC-ICP-MS U/Th",241,2,"7692.0","calcite",0.0841,0.0841,1879,54,54,NA,NA,"yes",49.132,0.017,13.796,0.078,0.02069,0.00057,280,8,0.02565,0.00071,1.4513,0.0025,0.825111034,0.412555517,"Cheng et al. 2000",1873.8,54.9,54.9,NA,NA,NA,NA,NA,NA,NA
6938,390,"MC-ICP-MS U/Th",307,2,"7693.0","calcite",0.10092,0.10092,2362,69,69,NA,NA,"yes",51.666,0.018,0,0,0.0267,0.00074,NA,NA,0.03145,0.00087,1.4285,0.002,0.825111034,0.412555517,"Cheng et al. 2000",2363.5,69.1,69.1,NA,NA,NA,NA,NA,NA,NA
